127.0.0.1 - - [28/Nov/2019:18:32:43 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Nov/2019:18:32:46 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [28/Nov/2019:18:32:46 +0530] "GET /demo/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:18:32:46 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Nov/2019:18:37:13 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:25:21 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2455
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:26:02 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:26:04 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:27:07 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:27:15 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:27:16 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:27:16 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:27:16 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:27:16 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:27:16 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:27:27 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:27:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:27:30 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:27:33 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:31:17 +0530] "GET /demo/adminlogin.html HTTP/1.1" 200 2673
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:31:50 +0530] "GET /demo/adminlogin.html HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:06 +0530] "GET /demo/adminlogin.html HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:08 +0530] "GET /demo/adminlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:50 +0530] "POST /demo/adminlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:50 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:36:04 +0530] "POST /demo/adminlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:36:04 +0530] "GET /demo/adminlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:38:52 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:39:52 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:39:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:39:55 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:39:55 +0530] "GET /demo/adminlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:40:08 +0530] "POST /demo/adminlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:40:08 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2386
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:40:17 +0530] "GET /demo/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:40:17 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:40:20 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:40:35 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:40:35 +0530] "GET /demo/adminlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:40:43 +0530] "POST /demo/adminlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:40:43 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2386
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:41:04 +0530] "GET /demo/memberlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:41:07 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2386
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:41:08 +0530] "GET /demo/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:41:08 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [28/Nov/2019:20:03:51 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:20:03:51 +0530] "GET /demo/adminlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:20:03:58 +0530] "POST /demo/adminlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:20:03:58 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2386
0:0:0:0:0:0:0:1 - - [28/Nov/2019:20:04:00 +0530] "GET /demo/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:20:04:00 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [28/Nov/2019:20:04:06 +0530] "GET /demo/camp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:20:04:17 +0530] "POST /demo/memberlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:20:04:17 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [28/Nov/2019:20:04:19 +0530] "GET /demo/camp.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [28/Nov/2019:20:04:22 +0530] "GET /demo/bank.jsp HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [28/Nov/2019:20:05:11 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:20:05:30 +0530] "POST /demo/adminlogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:20:05:30 +0530] "GET /demo/adminhome.jsp HTTP/1.1" 200 2386
