127.0.0.1 - - [12/Nov/2021:11:00:55 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Nov/2021:11:00:57 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [12/Nov/2021:11:00:57 +0530] "GET /demo/home.css HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [12/Nov/2021:11:00:57 +0530] "GET /demo/images/news3.jpg HTTP/1.1" 200 1116323
0:0:0:0:0:0:0:1 - - [12/Nov/2021:11:00:57 +0530] "GET /demo/images/news4.jpg HTTP/1.1" 200 1689057
0:0:0:0:0:0:0:1 - - [12/Nov/2021:11:00:57 +0530] "GET /demo/images/news2.jpg HTTP/1.1" 200 992050
0:0:0:0:0:0:0:1 - - [12/Nov/2021:11:00:57 +0530] "GET /demo/images/news1.jpg HTTP/1.1" 200 520918
0:0:0:0:0:0:0:1 - - [12/Nov/2021:11:00:57 +0530] "GET /demo/images/bloodicon.jpg HTTP/1.1" 200 15418
0:0:0:0:0:0:0:1 - - [12/Nov/2021:11:00:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Nov/2021:11:02:38 +0530] "GET /demo/camp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2021:11:02:38 +0530] "GET /demo/memberlogin.html HTTP/1.1" 200 2673
0:0:0:0:0:0:0:1 - - [12/Nov/2021:11:02:38 +0530] "GET /demo/images/loginavatar.png HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [12/Nov/2021:11:09:05 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [12/Nov/2021:11:10:22 +0530] "GET /demo/home.jsp HTTP/1.1" 200 2470
